3,846,1286,1439,1825,2100,2249,2360,2568,2720,2923,2972,3081,3457,3858,4364,4486,4497,4652,4951,4990,5334,5493,5521,5610,5941,6246,6939,7261,7447,7453,7724,7837,8257,8470,9345,9604,9609,9683,9894
7,187,1610,1659,1797,1830,2451,2530,2627,2786,2939,3029,3075,3275,3459,3520,3812,4560,4644,4815,5125,5148,5563,5622,6033,6200,6234,6858,7290,7719,8242,8347,8373,8462,8731,8812,9022,9347,9767,9788
8,16,48,50,61,77,119,120,141,201,239,258,264,276,298,331,338,351,361,423,495,509,587,590,608,623,646,691,904,961,1027,1120,1299,1327,1660,1719,1940,2266,2647,3820
22,191,774,806,1113,1256,1647,1698,1752,1782,1941,2269,2524,3308,3585,3929,3940,4385,5229,5439,5661,5665,5814,5888,6327,7383,7468,7498,7541,7915,7944,8200,8427,9043,9213,9218,9271,9555,9719,9955
30,406,441,575,1428,1727,1895,1926,2039,2467,2588,3292,3356,3815,3835,3962,4163,4241,4410,4667,5081,5280,5492,5512,5922,6643,6976,6978,7334,7579,7770,8818,8829,9017,9061,9134,9472,9582,9641,9911
36,399,445,599,602,801,1531,2299,2520,2609,2644,2781,3274,3462,3720,4222,4324,4783,4938,5043,5217,5750,5942,6070,6405,6414,7640,7645,7911,7994,8033,8068,8139,8578,8840,8923,8930,8961,9383,9420
47,762,902,917,959,1057,1160,1929,2419,2655,2965,3143,3213,3352,4039,4181,4243,4803,5496,5498,5629,5663,6180,6359,6609,6977,6980,7029,7054,7074,7622,7814,7891,8323,8543,8587,8784,8940,9607,9890
62,230,256,809,842,1787,1875,2265,2513,2649,2835,3226,3334,3592,3888,3893,3932,4009,4035,4133,4689,6167,6261,6268,6346,6425,6769,7028,7154,7625,7948,8172,8290,8777,9080,9183,9452,9809,9814,9873
76,284,1170,1398,1419,1454,1870,1873,2065,2878,3178,3179,3350,3590,3804,4036,4479,4508,4569,4793,4848,5092,5914,6081,6096,6207,7093,7490,7624,7785,7878,8063,8250,8425,8426,8872,8906,9099,9475,9698
111,443,986,1397,1476,1918,2187,2398,2584,2813,2825,2899,3018,3134,3208,3310,3643,4061,5095,5362,5518,5801,5884,6695,6938,7041,7044,7091,7309,7394,7543,7735,7972,8125,8518,8974,9032,9127,9333,9353
152,386,900,955,1287,1770,2037,2253,2368,2388,2910,3121,3309,3713,3722,3778,3787,3947,3955,4557,4660,4948,5635,5675,6680,7372,7501,7514,7634,7691,8023,8136,8413,8440,8735,8967,9128,9207,9738,9903
229,370,503,556,1038,1167,1269,1325,1581,1690,1710,2189,2401,3440,3607,3679,3802,4142,4469,4896,5823,6412,6536,6617,6883,7014,7396,7734,7821,7861,8459,8473,8492,8713,8817,8935,9548,9857,9908,9933
245,348,438,460,707,1567,1726,1811,2208,2660,2779,2836,3080,3336,3495,3669,4115,5300,5503,5711,5767,5812,5889,6053,6416,6940,7003,7200,7234,7348,7488,7555,7769,8365,8689,9103,9335,9630,9827,9878
253,293,376,776,1223,1911,2008,2446,2449,2679,3410,3435,3797,4011,4139,4268,4448,4550,4640,5013,5557,5926,6100,6188,6694,6935,6965,7068,7158,7159,7202,7545,7820,8226,8305,8515,8748,8871,9000,9188
269,1190,1619,1643,1709,1766,1908,1913,2362,2750,2807,2830,3083,3766,4162,4378,4383,4751,4947,5130,5590,5730,5910,6402,6445,6615,6701,7047,7210,7304,7486,7710,7729,7740,7856,7957,8036,8536,9927,9998
