243,989,9093,9756
256,3534,7756,8535
262,2541,8042,9236
329,3765,6577,9410
353,4985,5481,9262
370,4743,7334,7634
378,1463,8584,9656
402,2122,8215,9342
403,4522,5984,9172
408,4939,5636,9098
412,5772,6936,6961
414,946,8983,9738
442,5036,6857,7746
468,3045,8061,8507
478,4422,7222,7959
483,5307,7048,7243
491,3609,6778,9203
511,4166,5445,9959
530,4760,5908,8883
557,876,9116,9532
581,6168,6515,6817
593,3849,6873,8766
617,1058,8630,9776
631,3323,6370,9757
641,655,8792,9993
654,4601,6902,7924
679,3851,7395,8156
690,5105,5831,8455
728,3278,7911,8164
747,3906,6232,9196
775,2764,6661,9881
792,4095,7242,7952
852,5689,6513,7027
854,2621,6828,9778
863,4866,5983,8369
874,2723,6862,9622
899,1531,8696,8955
970,3909,5251,9951
1004,2929,6387,9761
1025,2330,7717,9009
1050,2938,7251,8842
1098,2687,7731,8565
1116,4560,4850,9555
1143,4438,6707,7793
1148,5098,6363,7472
1153,2740,6224,9964
1159,2373,6979,9570
1256,3033,6301,9491
1333,3530,6319,8899
1344,2021,7572,9144
1392,4058,5160,9471
1413,5131,5632,7905
1443,4593,6465,7580
1454,4313,5465,8849
606,1482,8663,9330
572,1494,8824,9191
1496,4169,5767,8649
1510,2054,7071,9446
620,1522,8648,9291
1529,5081,6021,7450
1534,3673,5898,8976
1583,2344,7075,9079
1587,3214,6575,8705
1588,2165,8150,8178
1619,4353,5428,8681
1628,1901,7998,8554
1650,3363,6227,8841
1656,3449,6099,8877
1682,2601,7386,8412
1695,4785,6484,7117
1713,2209,6964,9195
1714,6087,6120,6160
1717,2725,6644,8995
1745,2486,7764,8086
232,1752,8199,9898
1777,4115,6306,7883
1784,4004,6425,7868
1793,3185,5467,9636
1797,4592,5854,7838
1806,4977,6480,6818
1866,3944,5880,8391
1882,2773,6422,9004
209,1887,8144,9841
1924,3091,6435,8631
573,1977,7751,9780
1985,3382,4727,9987
1992,2218,6390,9481
2003,4316,5189,8573
565,2069,8095,9352
2075,4129,5518,8359
2082,2148,7161,8690
2142,3543,6712,7684
2157,3416,4516,9992
2161,2242,7547,8131
2162,3963,6951,7005
2210,4198,6488,7185
1199,2279,7248,9355
2281,4586,5770,7444
1384,2286,7363,9048
2318,2570,7010,8183
2329,3275,6064,8413
2356,3065,6890,7770
2357,3882,5062,8780
2385,3896,5836,7964
1878,2405,6164,9634
1367,2473,6501,9740
1867,2482,7683,8049
2518,2808,6429,8326
2119,2527,7019,8416
2546,5677,5928,5930
4936,4967,4987,5095
4093,4286,4366,4559
12,82,9991,9996
13,118,9960,9990
32,175,9912,9962
24,184,9921,9952
158,179,9858,9886
92,344,9806,9839
77,415,9786,9803
64,522,9746,9749
277,365,9711,9728
331,396,9669,9685
206,576,9629,9670
80,772,9611,9618
95,813,9568,9605
142,831,9544,9564
141,840,9548,9552
50,1106,9388,9537
397,659,9505,9520
333,773,9475,9500
316,941,9397,9427
357,940,9390,9394
644,688,9368,9381
191,1187,9328,9375
595,1125,9013,9348
46,1732,9072,9231
