2679,7215,7944,9580,9582
4181,7735,7737,7740,9607
5858,5922,5926,9641,9653
3,7,5557,9955,9979,9998
141,5458,6978,7515,8036,8872
229,2981,4990,9574,9596,9630
230,809,8817,8829,8840,9475
269,324,7811,9188,9604,9804
842,5521,6412,7520,7949,8756
989,5118,6214,7304,7691,9684
2187,3309,7837,7839,7856,7972
2449,5673,7091,7093,7139,7555
2836,4009,6609,7068,7986,8492
5814,6047,6049,6053,6070,6967
8,22,3459,5675,8508,9401,9927
36,1299,3495,7261,7290,8713,8906
48,575,2781,6416,8200,9171,9809
61,1115,4848,5630,8290,8296,8760
77,1870,2282,5495,8848,8930,9498
253,929,5217,6180,7383,8440,8598
258,599,2720,6976,7543,9116,9788
284,1160,3643,4896,8413,9283,9321
287,706,5018,5523,7028,9103,9335
338,3356,3791,4528,6426,8628,9933
370,843,2748,6695,7497,9128,9719
399,3132,3275,7041,7447,7541,8165
592,721,3619,4690,8575,9353,9450
602,1822,2965,5547,6364,9827,9873
664,1942,5081,5622,6965,7047,9679
668,2253,4162,4378,7960,8639,8940
774,1571,2401,4667,9061,9080,9446
885,1057,5496,5914,5942,8023,9683
902,2934,4469,4931,6918,6935,9911
970,1926,4652,5626,5736,8190,9900
1068,3812,3915,5711,5748,6817,9929
1137,1766,6200,6287,6308,7060,8242
1223,1678,3274,6425,7719,8243,8438
1256,2530,3560,4348,8148,8381,8777
1325,2237,2842,4550,8122,8961,8963
1330,2452,3208,5563,5910,8599,9938
1451,2627,3080,3955,8062,8803,9022
1475,2595,3441,4999,6938,8425,9127
1586,1731,2225,5489,7634,8735,9600
1651,2983,3592,3945,8205,8229,8395
1830,3669,4994,5000,5219,6380,9908
1941,3310,3333,3636,7309,7948,9523
1994,3352,3936,4783,5240,7957,9738
2039,3264,4139,5129,7306,7498,7625
2096,2923,3308,5092,6414,7907,9260
2249,3134,5229,5661,5665,6191,8871
2388,2584,3804,5460,6096,7503,9165
2765,2878,4036,6769,6785,6790,6977
2956,3047,3083,6694,6701,6940,7579
3125,3336,4644,5185,6037,7096,7577
4118,4245,4249,4268,5334,6268,8518
16,386,1918,2807,5784,7804,9032,9253
30,1727,2341,2419,3588,7772,9489,9634
47,1286,1398,3679,5280,7514,8578,9218
50,608,823,4209,6207,6613,8587,9903
62,318,3292,4634,6674,6680,7348,7992
76,1690,2234,4731,5590,7073,7179,8427
111,2513,2970,4751,5086,6661,7418,7490
119,562,1770,2265,6270,6742,9560,9712
120,1428,1643,2467,4035,8935,8974,9398
152,1491,3722,3766,5871,7029,7468,7501
187,1719,3598,3888,3962,4492,9347,9807
191,699,1146,5038,6445,6470,7154,9857
201,1439,2655,3974,6858,6937,7391,7545
239,1607,2644,4133,5659,5663,8515,8540
245,2239,2368,3820,5786,7334,7584,7624
256,1875,3293,3410,5767,6402,6980,9017
264,961,1782,2835,5493,7622,9000,9043
276,1735,1797,3343,6188,7044,7064,9553
293,460,4117,4660,5750,5764,7205,8751
298,2873,3670,4508,4947,5362,7014,8328
331,1539,4145,4241,4691,5842,7004,9207
348,955,3778,4272,5635,5801,7785,8426
351,423,3146,3899,4264,7321,8462,9134
361,1610,4410,4423,4689,5431,7729,8347
376,2486,3585,3713,3797,4886,8459,9698
402,1513,2652,3802,5338,7074,7488,8731
406,2779,3590,5629,5730,6246,6261,6359
438,623,1811,3934,5813,8063,8068,8250
441,959,1327,4569,6210,6651,8373,8470
443,1096,1710,2647,6932,7911,8125,8136
445,986,1660,3182,5897,7234,8784,8812
455,906,1634,4385,4938,7759,7861,9062
484,1419,4225,5514,6011,6081,6327,6939
495,1873,2461,2940,3607,7891,8748,8985
503,1752,1911,3692,6155,7046,7284,8657
509,587,1709,3215,6167,6392,8543,9878
556,1908,2465,4497,4557,6405,7645,8967
559,657,2362,3179,6514,7486,7770,8473
581,1397,2660,4659,4793,5621,7734,9555
584,904,1476,2520,6478,6883,8972,9183
590,3121,3932,3940,5503,5512,7200,7202
646,2100,2398,3213,3947,7054,8033,9609
691,900,1531,3943,7159,7210,7394,8172
707,1763,1937,2335,4383,7994,8536,9345
751,1120,2284,2905,4570,7453,8704,9213
