191,821,1325,4848,5610,8704
2835,6769,8829,9489,9498,9580
1146,3185,7457,8492,8515,8598,9607
3835,4640,6180,6207,7320,9099,9719
284,406,2748,7261,8243,8756,9641,9661
575,2956,3398,5888,7372,8395,8505,9911
885,2873,4690,6268,6392,6801,9188,9903
1096,2524,4691,6308,6967,7907,8172,9335
3,1513,1514,1710,6405,8413,8531,9337,9574
7,1223,3047,4731,6412,6536,7691,8381,8972
8,2965,3720,4285,5092,5118,7453,8426,9933
30,1873,2601,3787,3899,7625,8967,9102,9116
77,370,1057,4469,6478,7911,8025,9260,9353
120,1330,3309,3692,4486,6938,8599,8930,9596
141,293,955,5492,5812,6651,8328,9401,9927
201,2008,2372,2486,3713,7546,9062,9712,9900
230,3459,4039,4793,5675,6445,7014,7396,7949
258,386,664,2644,4388,9548,9609,9630,9873
324,1428,1766,3585,5460,7543,8036,9383,9475
338,584,3146,3310,6742,7321,7515,8462,9582
351,2842,3134,3293,4324,6680,7486,8935,9955
441,1875,2807,3932,4634,7159,8122,8242,9788
590,1941,2465,5129,5158,6414,7041,8812,9450
602,1797,2470,3457,5621,7074,7986,8136,9857
608,3343,4550,4667,4751,5043,5906,8660,9472
691,1825,2145,2781,5563,7306,8148,8543,9998
699,3122,3858,3947,4260,6327,7284,7948,9555
917,986,2530,4660,5223,7878,8068,8365,8373
970,2446,3940,4448,4584,6200,7447,8125,8840
989,1287,1980,3679,4948,7994,8425,8427,9271
1038,1256,2100,4162,5547,5910,8713,8751,9523
1113,1190,3336,4947,5622,7154,7290,7374,8974
1120,1660,2685,5521,5750,5926,7724,8290,8324
1137,1911,1942,3295,4803,7735,7856,9000,9321
1327,2189,3797,4139,4938,6701,6965,8305,8639
1491,1966,2970,4254,6100,6980,7468,7640,8131
1528,1752,3147,3804,5576,6935,7309,7503,9446
1647,2647,3619,4245,4740,6261,7804,7811,8226
1698,2584,2655,3974,4241,6033,7501,9061,9253
1729,2037,3029,4181,5217,5240,7490,8657,9420
1731,3213,3292,5801,5922,6049,6364,7073,7555
1822,2454,3143,3906,5941,5942,7003,7662,9127
2065,3121,3955,4919,5495,6081,6416,7179,7769
2152,2266,2398,5318,5512,6425,6514,7383,9032
2609,3132,3264,4408,4951,5518,6682,7091,9345
2830,3356,4163,4479,4557,5661,6234,7520,8200
16,2208,3083,3778,3943,5665,5884,6394,7044,8985
22,298,399,587,4999,5431,8190,8347,9022,9705
36,1286,2520,2588,5038,6155,6937,6977,7624,7839
47,2237,3125,3643,5280,5489,6047,6559,6613,7960
48,1735,3239,3308,4224,4364,4497,7060,8587,9938
50,2449,2939,3204,3495,4659,5493,7093,7759,9859
61,959,1610,2234,2836,6053,6694,8578,8628,9347
62,1203,1397,2368,4508,4569,6188,7814,9207,9684
76,762,2451,3081,3766,5086,6785,7772,7915,9306
111,503,1167,2452,5130,5914,6939,7418,8518,8848
119,843,2253,2813,3812,4225,5858,7466,9804,9807
152,1068,3334,3489,4070,5786,6661,6858,7046,8536
187,562,2187,2750,3018,3560,7497,8438,9103,9698
229,559,706,5337,5496,5503,5748,5897,7972,9553
239,592,1475,1913,3588,5300,7821,7891,8577,9604
245,902,1160,1741,3508,6270,6790,7234,9171,9979
253,1994,2905,4133,4348,4644,5814,5889,7622,9398
256,1764,3183,3802,4061,4886,5362,7004,7029,9653
264,1709,1726,3435,3945,4011,7645,7719,8250,8296
269,1810,2940,3441,4378,5784,6214,7139,7391,7634
276,929,3088,3182,3215,4815,6246,8023,8062,9164
287,1908,3929,3962,4142,5219,5523,5542,7205,9283
318,331,509,3096,4264,5767,6338,7365,9333,9679
348,1419,1672,2265,2467,5629,5673,8033,9600,9894
361,1451,2652,2679,4896,5514,6426,7210,7488,8323
376,1727,2513,2649,3520,4994,6470,7533,8257,8961
402,1386,1926,2249,4115,4783,5626,7028,9560,9925
423,445,657,823,5148,6883,7579,7710,8167,9165
438,1454,2341,4165,4423,5498,5730,5871,7172,9908
443,721,1607,1690,1830,3670,8575,8760,9814,9890
455,707,1787,2269,2765,3275,8540,8940,9128,9134
460,484,3333,4145,4410,4570,5229,7096,8470,8803
495,1170,3080,3274,4528,5161,5736,7158,7215,9183
556,1567,1634,2461,4243,6096,7054,7675,7770,7944
581,803,1937,3652,3791,4362,7334,7348,8229,8963
599,881,1659,2335,5445,5630,6609,7047,7577,9218
623,1269,2388,3210,3590,5013,5458,5711,9809,9929
646,2103,2779,3208,3352,6210,6447,7200,7514,7541
668,850,1586,2362,4652,6359,6940,6976,7394,9213
751,774,1426,1619,5764,6037,6695,7202,7861,8871
776,965,1637,2899,3722,5018,7545,7584,7837,9017
801,809,1870,2096,3592,6070,6191,7304,8440,9827
806,1539,2039,3410,4272,5185,6011,6932,7068,9738
842,1940,2906,3226,3440,4222,5000,8139,8508,8777
846,2910,3934,4208,4249,4385,5338,5439,5813,9878
900,1581,1763,3350,3636,6346,6380,6674,7498,8872
904,1782,2786,2878,3179,4118,6167,7359,8784,9043
906,1811,1860,3349,4036,4268,5095,8063,8689,8923
961,1531,1692,2934,4689,4931,6136,6287,8205,9634
1027,2282,2972,3598,4009,5331,5334,6978,7729,7740
1031,1719,1895,1915,2419,4136,7737,7992,8389,9767
1115,2239,2720,2983,3815,4117,4209,8165,8731,8906
1299,1918,2569,2923,3888,4492,4990,6158,9080,9683
1398,1439,1651,1678,3178,6617,6817,7517,7957,8748
1476,1643,2825,3462,3915,4383,5823,6918,7820,8735
1571,1770,2360,3607,4035,4433,6402,6615,7734,8473
1661,2299,2595,2660,4560,5125,5590,6987,7064,8459
1929,2284,2401,2568,2591,5635,5659,5663,8818,9452
2225,3820,3893,3936,4586,4672,5081,5842,6302,6643
2627,2963,2981,3075,3414,3669,5557,6112,7785,8817
