3,76,821,1439,1672,1830,7878,8657,8940,9188,9498,9998
7,77,823,1451,1678,2419,7215,8660,8961,9207,9523,9979
8,111,587,1115,1690,2446,7675,8689,8963,9213,9548,9955
16,119,590,843,1692,2449,7911,8704,8967,9218,9553,9938
22,1875,2451,2660,2940,4165,7041,7284,7497,7710,7915,8440
30,141,370,599,850,3356,8200,8731,8974,9260,9560,9929
36,376,602,1513,1710,2225,7046,8735,8985,9271,9574,9927
47,187,608,885,1514,2720,7503,8748,9000,9283,9580,9925
50,2239,2467,2750,3208,4224,5118,7515,7735,7960,8242,8492
61,1203,1918,2470,4225,4486,5663,7517,7737,7972,8243,8505
62,230,664,906,1567,1926,7986,8777,9043,9335,9604,9900
120,361,592,1137,1476,1698,8190,8713,8972,9253,9555,9933
152,1113,1475,1539,2647,2965,3147,3352,4492,4896,5223,5498
201,402,902,1190,1727,1915,7060,8756,9022,9321,9596,9908
229,406,657,904,1729,3955,5492,8760,9032,9333,9600,9903
239,668,917,1571,1735,2265,5922,8784,9061,9337,9607,9894
253,443,1286,1752,2269,3239,4011,8812,9080,9347,9630,9878
256,445,706,1287,1763,3264,5503,8817,9099,9353,9634,9873
264,1619,1766,2569,3508,4264,5748,7555,7804,8036,8324,8543
269,1634,2584,3083,3520,3812,4931,7391,7811,8062,8328,8575
276,495,986,1330,1637,2341,6047,8848,9127,9420,9679,9814
284,503,989,1386,1787,2591,5523,8871,9128,9446,9683,9809
287,509,776,1027,1797,2873,5784,8872,9134,9450,9684,9807
293,801,1031,1810,2039,2368,4634,8906,9164,9452,9698,9804
298,559,1038,1419,2372,2899,4362,8923,9165,9472,9705,9788
318,562,806,1057,1426,2096,6680,8930,9171,9475,9712,9767
324,575,809,1428,1825,2644,5331,8935,9183,9489,9719,9738
331,581,2401,3336,3619,4142,6694,7210,7468,7645,8148,8425
338,584,2145,2649,2923,5337,6394,7486,7662,7891,8165,8426
348,1454,1870,2934,3349,4667,6155,7234,7488,7907,8167,8427
351,1120,1873,2187,3350,5038,7029,7261,7490,7691,8172,8438
386,1167,1719,2234,4448,4731,5635,7306,7729,7949,8226,8470
438,1256,1929,2513,3018,4497,6478,7348,7759,7992,8257,8515
460,721,965,1325,2299,2830,4560,8829,9103,9398,9653,9857
484,751,970,1327,1770,2335,5518,8840,9116,9401,9661,9827
556,1398,2601,2878,3309,3590,5280,7447,7837,8125,8381,8598
646,3075,3334,4209,4652,4999,5675,5926,6346,6536,6978,7624
691,2266,2520,3226,3459,4245,4508,6514,7769,7994,8290,8518
699,2609,3441,3899,4584,5542,5767,6037,6287,6617,6939,7579
762,1782,1994,2588,3088,4070,5521,7394,7814,8063,8347,8577
774,1643,2842,3096,3295,3820,4115,7584,7820,8068,8365,8578
803,1811,2065,3125,3592,3888,4133,7625,7839,8131,8389,8599
842,3146,3457,4268,4990,5318,5547,5786,6049,6338,6682,7577
881,1160,1908,2685,3398,3940,6188,7501,7724,7948,8205,8462
955,1586,1940,2807,3047,3791,5711,7543,7770,8023,8296,8531
959,1607,1941,2813,3797,4035,5942,6268,7772,8025,8305,8536
1068,2765,3893,4243,4550,5018,5338,5814,6096,6695,6987,7533
1096,3081,3414,3815,4569,5300,5590,5813,6100,6701,6980,7541
1146,1491,2208,2452,2956,4423,6414,7290,7498,7719,7944,8459
1170,1528,1913,2748,4222,4469,4740,6817,7734,7957,8229,8473
1223,1731,2253,2486,2779,3962,6214,7334,7520,7740,8250,8508
1397,1647,2037,2362,2595,3588,6053,7418,7821,8122,8373,8587
1531,2652,3489,3943,4388,4783,5730,6011,6302,6661,6965,7545
1610,1942,2284,2825,3274,3802,4036,7546,7785,8033,8323,8540
1651,2679,3643,3932,4385,4659,5043,6246,6470,6918,7054,7320
1659,3182,3560,4272,4660,5086,5495,5764,6081,6392,6785,7064
1660,1822,2388,2627,2905,3132,4994,7457,7856,8136,8395,8628
1661,2100,2398,2906,3134,3607,4139,7003,7861,8139,8413,8639
1709,3122,3462,3787,3906,5158,5621,5897,6364,6402,6932,7640
1860,2786,3636,3936,4324,4672,5081,6070,6380,6742,7047,7466
1895,3183,3585,3934,4348,4690,5125,5512,6425,6858,7073,7372
1911,2781,3179,4061,4479,4691,5626,5842,6112,6790,7014,7514
1966,2835,3213,3720,4145,5229,5563,5801,6359,6769,7004,7396
1980,3292,3679,3974,4383,4751,5129,5812,6136,6416,7074,7374
2008,2939,3275,3670,4009,5161,5557,5823,6180,6935,7139,7304
2103,3210,3713,4136,4803,5095,5439,5630,5884,6158,6801,7028
2152,2836,3185,3495,4254,5000,5445,5661,6559,6937,7093,7383
2189,3310,3766,4163,4528,4848,5130,5489,6191,6412,6883,7091
2249,2970,3293,4117,4433,4886,5240,5610,6234,6609,7159,7200
2282,3029,3343,3778,4162,4938,5622,5871,6167,6405,7044,7359
2360,2963,3143,4249,4570,4919,5431,5659,5889,6210,7154,7453
2454,2972,3215,3945,4364,4689,5092,5941,6308,6643,7172,7205
2461,2983,3308,3692,3947,4378,5496,5736,6651,6967,7179,7202
2465,3080,3410,3804,4181,4951,5362,5888,6207,6426,7068,7158
2524,3669,3915,4285,4640,4948,5217,5493,5665,6261,6445,6938
