8,6559,9955,9979,9998
3835,8784,8972,9062,9347
961,2981,7584,9321,9523,9630
1325,3134,6769,9253,9705,9814
1764,2720,6364,9489,9738,9925
2486,4145,7497,7734,9022,9116
2983,5711,5942,8200,8536,8628
3410,3720,5736,8963,9043,9128
4486,4570,7200,7804,7878,8062
5318,5458,7091,7304,7372,7457
111,3121,3308,7054,8290,9017,9099
230,1726,6096,7839,7948,8025,8136
438,1915,4783,7772,8226,8323,8543
590,1286,7490,7533,7622,7710,7769
599,1770,2956,8492,8575,8760,8848
776,1610,6380,7261,7348,7418,9207
801,4268,5659,5748,5906,8657,8961
842,2039,3457,7466,8531,8735,8930
1160,1660,4209,6536,8068,9032,9335
1256,2398,6939,7210,7320,7391,7486
1643,4348,5489,6785,6980,7093,7662
1698,1940,3213,6070,8923,8985,9171
1873,2265,3766,5922,6651,9719,9804
1911,3670,6261,6940,7004,7060,7154
1980,2249,5888,6967,7068,7159,8689
2269,2530,4241,4249,8426,8518,9767
2341,2940,4990,6270,6615,8131,8713
3588,3934,4208,5300,7520,7691,7759
7,399,917,2237,8748,9103,9188,9401
22,141,269,691,9574,9683,9712,9908
30,76,1514,4659,5229,8756,9807,9929
36,239,699,959,8660,9698,9809,9900
50,256,821,1203,8974,9475,9580,9641
61,1567,1929,6037,6047,7046,8473,8840
62,191,584,1439,8328,9596,9873,9927
77,229,276,1513,9333,9420,9548,9604
120,885,3619,4272,5092,8063,8389,9560
152,1113,1830,4117,6883,8515,8587,8803
187,258,1659,5767,6680,7957,7994,9498
264,762,1120,1752,8817,9000,9102,9183
293,575,2454,3955,5786,7861,9165,9911
298,900,1327,2813,8508,8578,8704,8872
324,2923,4136,5338,5673,5871,7545,8190
351,1672,2647,4584,5492,7624,8324,9306
376,2765,3888,5013,5185,5493,8462,8818
386,503,2842,5129,5801,8205,8305,8829
406,1476,1797,2467,5889,8906,9398,9661
441,904,1068,4803,5043,8577,9555,9609
443,803,1661,3333,7028,8505,8777,9450
562,2825,3178,4163,5460,6938,7047,9827
587,774,3208,5125,6445,7821,7915,8125
646,1647,1727,6214,6937,7515,7577,7737
657,3122,3932,5000,6346,6801,7003,7139
751,1031,3459,6188,6674,7205,7309,7383
806,881,970,1397,8242,9080,9271,9353
823,2360,2609,2679,4586,7949,9061,9933
846,3210,3906,4225,4378,7468,7944,8023
1027,1223,3858,4938,5495,6049,8598,8812
1038,1057,2446,4264,7541,7719,7770,8165
1137,2750,2836,4644,6609,7215,7321,7488
1167,2595,3204,4243,6976,7172,7284,7359
1287,2100,2145,3804,4039,8540,8639,9446
1398,2470,3147,3508,5730,5784,8381,9582
1428,1918,5439,6011,6100,6200,6287,6617
1539,1787,3489,5814,6414,6935,6978,7044
1586,2234,2649,4469,6180,6682,6817,9383
1651,2208,2685,5764,6053,6246,7579,7814
1710,1895,3215,3652,3899,6338,9607,9684
1870,3962,4009,4433,4999,5334,5503,9890
1994,3947,4061,4388,5512,6426,6695,6977
2008,2065,4550,5038,6234,6412,6514,7179
2225,2830,2878,2910,4245,7625,7634,9653
2239,3075,3679,3940,4560,5823,6790,9894
2253,2513,3356,4689,5926,6033,7501,7729
2568,2906,3349,4896,5610,5914,6158,8599
2781,3309,3520,4793,5217,5812,7234,7334
3,986,2419,3797,3893,6081,6268,6694,9859
16,287,1491,2461,4410,6416,7498,7543,9878
47,201,338,495,843,9345,9452,9600,9679
48,809,1637,3943,4222,4324,8243,8347,8427
119,1531,4011,4070,4815,5081,5223,5813,9337
245,361,1475,3239,3343,6470,7029,8871,8967
253,707,1419,3083,3440,4260,7837,9213,9788
284,1426,1763,2584,4691,5514,6359,7907,9472
318,592,1926,2187,3226,4731,8036,9127,9857
331,402,2368,2388,2899,5665,8373,8440,9134
348,1719,4036,4408,5542,5675,5884,5941,6447
370,906,2748,3636,3974,4181,7306,8148,8731
423,455,2372,3179,6155,6327,6643,6661,7785
445,664,2335,3802,3945,5362,7365,7960,8122
460,965,1607,4634,4660,5018,6405,7856,8395
484,1269,2652,2963,3336,4224,7820,7992,9260
509,1690,3815,4479,4492,5663,5842,6136,7374
556,1451,2965,3185,3495,5161,6701,7546,8940
559,1782,3352,3590,3643,5910,6478,7290,7396
581,1875,1937,2660,3929,4142,8167,8296,8413
602,1811,3936,4919,4951,5086,5219,5337,8139
608,1860,2939,3146,3915,4497,7073,7503,8459
623,1822,2096,3435,3787,4740,7517,7555,8425
668,2037,3293,4528,5547,5590,5635,5661,7041
706,1810,3334,3778,5445,5563,5576,5897,7891
721,1729,2401,2452,3143,4115,8250,8438,8751
850,2644,3047,3183,4035,4364,6167,7724,7986
902,2299,2970,3081,4640,4994,5331,7811,7972
929,1966,2779,3292,3722,6425,6858,6965,7064
955,3029,3275,3310,3398,4848,5621,5626,9938
989,2449,2807,3132,4557,4886,5629,7640,7911
1096,1528,2627,2786,5148,5557,5630,7158,8470
1115,1941,2189,3088,3560,5858,7014,7202,8033
1146,1825,2601,2972,3592,4448,5498,8365,9553
1170,2520,2655,3692,4508,6112,6207,6394,6742
1190,1731,2266,5095,5280,5518,6210,6308,6402
1299,2569,2905,3274,3441,3713,4667,8229,9903
1330,2524,3350,3669,3812,4133,4254,7645,9283
1386,1581,1735,3125,3607,4690,7447,8172,8257
1454,1692,3295,4118,4139,4423,5750,7394,7735
1571,1942,2934,3791,4751,4931,5523,5622,8935
1619,1741,2282,2873,3096,4672,6987,7096,9634
1634,1678,2362,3264,4362,6302,6392,6932,7074
1709,2451,2588,4162,4285,4948,5118,5521,9218
1766,3018,3080,3462,4383,4569,6191,6613,6918
1908,2284,2465,2835,3414,4165,7514,7675,7740
1913,2103,2152,3585,3820,4652,5158,7453,9164
2591,3182,3598,4385,4947,5130,5240,5431,5496
