1672,9827
2748,6416,6447,9127,9128,9134
1120,3720,3797,6047,8599,9738,9979
3,2249,5334,5659,6425,6426,7740,9164
8,495,2627,5813,6769,8305,9401,9582
22,2842,3888,6682,7054,7159,7205,8148
36,707,3652,4245,7391,8923,8930,9116
62,2372,5013,6414,7261,7284,7290,7304
77,503,562,4815,9022,9213,9253,9555
111,2037,2652,5629,7545,7555,7577,9894
120,885,2452,7064,7804,7948,8023,8704
187,1167,4222,5512,6651,7321,8940,9000
276,1911,1937,6935,6937,8036,8062,8906
287,1057,1830,3495,8250,8518,9634,9929
338,2830,4951,5018,5495,6037,8543,9788
348,2449,4268,4672,7497,7498,7517,8751
370,4035,4634,5842,5888,6674,7210,8347
399,1678,3410,4036,7811,7821,7972,9873
460,1115,2685,3336,7957,7986,9523,9938
657,1327,2360,7041,7624,7634,7770,8587
881,1586,4165,4209,4272,8578,9398,9911
904,2467,2905,3459,5161,9207,9218,9679
906,1619,3766,4383,4508,8413,9472,9933
959,1643,1709,4181,6270,9188,9345,9705
1160,1513,4011,4324,5914,7839,8598,9641
1398,1475,1692,5229,7154,7520,8972,9560
1528,3146,3804,3835,7091,7579,7949,8068
1647,2237,3643,3929,4783,8033,8803,9925
2266,3590,4162,4586,5514,6112,8381,8389
2269,2335,4249,4479,5219,7046,8440,8963
2282,2419,4142,4285,6514,7320,7546,8492
2609,3125,3295,4423,5130,6978,7994,9446
2750,2813,3029,3179,5280,8462,8470,9017
2965,3081,3208,3292,5118,6158,9574,9604
3083,3962,4896,5439,5445,6470,6661,7044
7,441,2152,2284,3204,7466,7960,9719,9767
16,1397,1764,4528,5038,5081,6790,9080,9306
30,245,1190,2253,5489,6536,8229,9475,9553
47,1870,2362,2940,3075,5458,8829,8871,9548
48,803,1942,2601,6011,6261,6268,9383,9683
50,230,1735,2100,2299,8122,8748,9857,9859
61,293,575,5547,6214,7068,7158,7625,8459
76,1426,2956,4163,5492,5557,6478,7891,8961
119,774,2910,3275,4751,5889,8200,8505,8577
141,1419,1531,1913,2465,7234,8735,9684,9878
152,1966,1980,4469,5331,5711,5767,7820,9804
191,376,917,2368,5621,8172,8226,8373,8756
201,1741,2660,2899,4990,6096,7737,8136,8540
229,3310,4378,4385,4388,4410,6364,7675,7861
239,253,1661,1752,3943,7047,8242,9908,9955
256,1514,1860,4433,4689,6180,6817,7348,9903
258,1940,2647,4492,4584,5926,7710,7719,7724
264,1299,1825,2187,4039,5812,8515,9450,9609
269,602,1929,3974,4803,6191,6200,9452,9580
284,1918,2591,4948,5362,5675,5736,7215,9271
298,1038,2461,3441,4557,6402,6680,9061,9062
318,2679,3462,3585,3940,4225,7992,8139,8660
324,1386,2189,2446,3183,6302,7856,9653,9661
331,3185,3636,4448,4652,4931,7060,7374,7383
351,1428,2524,4690,5521,5622,6939,6940,8985
361,721,3440,4118,4254,4938,5942,9596,9630
386,581,1690,1731,4640,7691,8063,8935,9283
402,2388,2486,3520,5223,5941,7306,7309,8425
406,584,843,2836,4644,7503,7911,8575,9698
