3,36,191,293,562,821,1913,8985,9128,9306,9452,9600,9712,9998
7,423,691,1637,1719,1797,4245,7994,8165,8305,8438,8731,8848,9000
8,581,961,1643,1726,2652,3295,8023,8167,8323,8440,8575,8735,8871
16,50,230,441,843,1146,1647,8324,9165,9335,9489,9609,9767,9938
22,61,239,331,587,846,1651,8906,9171,9337,9498,9630,9788,9933
30,62,245,338,445,1167,1825,8470,9183,9345,9523,9634,9804,9929
47,201,298,575,823,959,1325,8543,9134,9321,9472,9604,9719,9979
48,229,318,438,699,842,1137,9017,9164,9333,9475,9607,9738,9955
76,253,348,455,592,751,2152,7915,9188,9347,9548,9641,9807,9927
111,900,1031,1426,1870,1942,2454,7948,8381,8505,8628,8784,8940,9080
119,264,370,608,776,1223,1678,7372,9218,9398,9560,9679,9827,9908
120,269,376,503,623,1057,1256,8125,9253,9401,9574,9683,9857,9903
141,276,386,509,646,1068,1692,7579,9260,9420,9580,9684,9859,9900
152,284,399,556,657,917,1770,7501,9271,9446,9582,9698,9873,9894
187,402,559,664,809,929,1619,7029,9283,9450,9596,9705,9878,9890
258,361,484,602,774,1203,1571,7210,9213,9383,9555,9661,9814,9911
287,1113,1287,1709,1911,2239,2644,6214,8426,8536,8704,8829,8974,9127
324,584,706,965,1514,2266,3766,8025,8172,8459,8577,8748,8872,9022
406,668,955,1476,1787,2039,3713,7992,8148,8296,8427,8540,8713,8840
443,970,1160,1386,1729,2103,2835,8033,8190,8328,8462,8578,8751,9032
495,1038,1428,1581,1763,1873,2208,7215,8389,8508,8639,8803,8961,9099
590,721,850,986,1531,1659,4035,7772,8200,8347,8587,8756,8923,9043
707,1822,1929,2660,2963,3096,4011,7179,7321,7457,7533,7645,7770,7907
801,904,1439,1586,1690,1764,1875,7497,8395,8515,8657,8812,8963,9102
803,906,1269,1607,1766,2234,2467,6470,8413,8518,8660,8817,8967,9103
806,1096,1454,1610,1698,2237,2781,5767,8425,8531,8689,8818,8972,9116
881,989,1170,1735,1830,1940,2451,6817,8365,8473,8598,8760,8930,9061
902,1966,2341,2899,2983,3134,3226,5148,7555,7719,7814,7949,8122,8242
1027,1190,1661,1741,1860,1941,3213,5129,8373,8492,8599,8777,8935,9062
1115,1299,1634,2388,2513,2807,5659,7154,7304,7396,7514,7624,7737,7856
1120,1491,1915,2065,2813,3588,4385,7158,7306,7418,7515,7625,7740,7861
1286,1908,2008,2368,2627,3147,4118,5018,7584,7734,7837,7972,8136,8257
1327,1918,2524,3893,3974,4388,5812,6112,6261,6402,6609,6769,6965,7046
1330,1727,1811,2100,2530,3592,4145,7172,7320,7453,7520,7640,7769,7891
1397,1731,2145,2569,2679,3121,3208,7200,7334,7466,7541,7662,7911,8036
1398,1539,1660,2584,2685,3122,3210,7064,7468,7543,7675,7785,8062,8205
1451,1895,1994,2362,2609,3670,3815,4815,7498,7729,7821,7960,8131,8250
1475,1782,2037,2372,2486,3178,3275,5784,7622,7735,7839,7986,8139,8290
1513,1810,2096,2265,2940,3083,3590,7159,7309,7447,7517,7634,7759,7878
1528,2269,2446,3204,3906,5095,5280,6155,6270,6412,6615,6790,6976,7054
1567,2187,2299,2452,2720,2972,3125,5610,7486,7545,7804,7944,8063,8226
1672,1752,2189,2591,2748,3132,3934,5130,7488,7546,7710,7811,8068,8229
1710,2647,3080,3179,3292,4243,5910,6096,6234,6392,6536,6701,6939,7041
1926,2830,3088,3308,3435,4254,4938,6136,6268,6405,6613,6785,6967,7047
1980,2225,2360,2465,2601,2905,3143,5626,7374,7577,7724,7820,7957,8243
2249,3309,3778,4634,4740,5081,5229,5460,5518,5630,5736,5889,6053,6694
2253,2398,2520,3293,3888,3962,5661,6100,6246,6394,6559,6742,6940,7044
2282,2449,2836,3310,3915,4163,4731,6158,6287,6414,6617,6801,6977,7060
2284,2842,2970,3333,3619,3929,4951,5318,6167,6416,6643,6978,7202,7348
2335,2878,2981,3215,3462,3802,4061,5871,6426,6661,6883,6987,7073,7365
2461,2595,2750,3343,3489,3804,4070,5884,6445,6674,6918,7003,7074,7490
2470,3047,3274,3352,3520,3820,4225,4659,5897,6937,7028,7096,7284,7391
2588,2873,3334,3636,3797,4039,4181,4586,5496,6858,6980,7068,7205,7359
2655,3264,4139,4469,4584,4751,5185,5439,5521,5635,5801,5941,6191,6425
2765,3018,3239,3349,3495,3669,3812,5512,6200,6680,6932,7004,7091,7234
2779,2906,3029,3146,3350,3943,4117,4362,6682,6935,7014,7093,7261,7383
2786,2923,3075,3356,3560,3692,4241,4886,5217,6938,7139,7290,7394,7503
2934,3410,3607,4009,4652,4994,5300,5492,5547,5665,5813,5942,6188,6447
2939,3652,3899,4378,4508,4803,4999,5118,5493,5673,5823,6033,6302,6380
2956,3679,4142,4264,4383,4667,5000,5125,5563,5675,5842,6037,6308,6359
3182,3835,4115,4260,4408,4560,4948,5338,5503,5622,5750,5926,6207,6346
3183,3508,4133,4433,4569,4691,4990,5158,5362,5629,5764,5922,6180,6478
3185,3459,4165,4272,4570,4690,5043,5219,5445,5590,5730,5888,6049,6695
3336,3643,3936,4324,4486,4640,5013,5223,5458,5542,5814,6011,6210,6364
3398,3791,3955,4209,4348,4492,5086,5240,5523,5663,5786,5914,6081,6514
77,256,351,460,599,762,885,1419,7691,9207,9353,9553,9653,9809,9925
1937,2649,2825,2910,3598,3722,3947,4136,4208,4222,4224,4448,4479,4550,4644
2401,3081,3457,3787,4036,4249,4410,4557,4689,5337,5621,5748,5906,6070,6651
2419,3440,3858,3945,4285,4497,4660,4793,4919,4947,5331,5489,5514,5576,6327
2568,3414,3585,3932,4364,4528,4783,4848,4931,5092,5334,5495,5557,5711,5858
2965,3441,3720,3940,4162,4268,4423,4672,4896,5038,5161,5431,5498,6047,6338
