3096,9900
3121,9878
3125,9857
3185,9814
3295,9705
3309,9684
3333,9653
3440,9560
3585,9398
3588,9401
3692,9306
3778,9207
3812,9188
3835,9165
3893,9099
3955,9043
4117,8871
4222,8777
4241,8756
4348,8639
4362,8536
4469,8531
4479,8505
4508,8492
4528,8470
4550,8425
4560,8440
4584,8413
4634,8365
4644,6100
4652,8347
4659,8290
4660,8323
4667,8324
4672,8328
4689,8296
4691,8305
4740,8257
4751,8242
4783,8136
4793,8205
4815,8172
4848,8148
4886,7948
4919,8025
4931,8068
4938,8062
4947,8036
4994,7949
4999,7972
5000,7994
5013,7986
5038,7960
5043,7957
5081,7915
5086,7907
5095,7891
5118,7878
5125,7811
5129,7856
5130,7861
5148,7820
5158,7837
5161,7839
5185,7814
5217,7710
5219,7724
5223,7769
5229,7770
5240,7729
5280,7719
5300,7691
5318,7675
5331,7622
5334,7640
5337,7645
5338,7662
5362,7624
5431,7517
5439,7545
5445,7555
5460,7533
5489,7490
5496,7503
5498,7501
5503,7497
5512,7488
5514,7486
5521,7466
5523,7468
5542,7457
5547,7453
5557,7348
5576,7418
5590,7391
5610,7383
5626,7374
5629,7359
5635,7365
5659,7284
5661,7290
5663,7306
5665,7334
5673,7320
5675,7321
5730,7200
5764,7234
5784,7215
5786,7205
5801,7154
5812,7159
5813,7179
5823,7172
5842,7158
5858,7139
5871,6932
5884,6976
5897,7041
5906,7093
5910,7044
5926,7074
5941,7046
5942,7047
6011,6987
6033,6967
6037,6935
6047,6937
6049,6938
6053,6939
6081,6918
6112,6883
6155,6613
6167,6643
6180,6817
6191,6801
6200,6769
6210,6790
6214,6785
6287,6680
6302,6694
6308,6682
6327,6661
6346,6651
6359,6615
6380,6617
6425,6559
3,16,9767
7,3178,9809
8,3081,9911
22,3075,9903
30,3182,9788
36,3029,9933
47,4486,8462
48,3147,9804
50,3143,9807
61,3264,9548
62,2983,9955
76,3350,9574
77,3204,9719
111,2910,9979
119,3183,9698
120,3275,9604
141,3906,8940
152,2940,9908
187,3213,9600
191,3590,9218
201,2972,9827
229,3088,9683
230,2842,9927
239,2807,9938
245,3274,9475
253,2873,9873
256,3083,9661
258,2813,9929
264,4951,7785
269,4136,8575
276,2830,9894
284,3134,9582
287,3215,9498
293,2781,9925
298,3636,9062
318,4142,8540
324,3080,9596
331,3146,9523
338,3929,8731
348,3308,9333
351,3310,9337
361,4896,7740
370,3179,9450
376,3239,9383
386,2720,9890
399,3462,9134
402,4139,8459
406,3122,9472
423,2970,9607
438,4803,7759
441,6158,6394
443,2923,9630
445,5495,7060
455,3441,9102
460,3560,8935
484,3343,9171
495,3047,9452
503,3226,9271
509,3670,8817
556,2765,9679
559,3414,9022
562,3018,9420
575,2835,9580
581,2679,9738
584,3598,8818
587,3489,8923
590,3293,9116
592,3435,8972
599,2905,9489
602,3797,8599
608,3132,9260
623,3592,8784
646,2906,9446
657,3508,8829
664,3208,9128
668,3398,8930
691,3791,8518
699,3722,8578
706,2685,9609
707,2652,9641
721,2419,9859
751,3619,8628
762,2239,9998
774,3787,8438
776,2899,9321
801,5914,6268
803,3802,8395
806,3766,8426
809,2934,9253
821,2825,9353
823,3210,8963
842,5748,6402
843,2601,9555
846,3607,8543
850,5889,6261
881,2836,9283
885,3945,8167
900,3410,8689
902,4690,7396
904,3336,8760
906,2878,9213
917,2449,9634
929,3932,8139
955,2660,9347
959,5563,6478
961,4264,7772
965,4410,7625
970,3292,8735
986,2981,9032
989,2454,9553
1027,4383,7579
1031,3459,8508
1038,5492,6470
1057,3356,8587
1068,3940,7992
1096,3520,8381
1113,3495,8389
1115,5458,6426
1120,2956,8906
1137,5767,6096
1146,3652,8200
1160,2779,9061
1167,2649,9183
1170,2750,9080
1190,3962,7821
1203,2452,9345
1223,2786,8985
1256,3669,8063
1269,3820,7911
1286,2568,9127
1287,3679,8033
1299,5092,6609
1325,2451,9164
1327,3936,7737
1330,2965,8704
1386,5518,6070
1397,3858,7735
1398,3352,8250
1419,3349,8229
1426,2470,9103
1428,2595,8974
1439,4039,7520
1451,3815,7734
1454,5622,5922
1475,5711,5814
1476,2189,9335
1491,5621,5888
1513,3934,7546
1514,3943,7543
1528,3974,7498
1531,4165,7304
