8,6037,9955
16,6081,9903
22,6049,9929
30,6287,9683
36,6053,9911
47,6234,9719
48,6214,9738
61,5941,9998
62,6308,9630
76,6364,9560
77,6033,9890
119,6392,9489
120,5942,9938
141,5926,9933
152,6207,9641
187,5888,9925
191,6200,9609
229,5871,9900
230,5897,9873
239,6100,9661
245,6155,9600
253,6167,9580
256,6191,9553
258,6270,9472
264,5842,9894
269,5823,9908
276,6536,9188
284,5889,9827
287,5906,9807
293,6261,9446
298,6680,9022
318,6682,9000
324,6405,9271
331,6268,9401
338,5784,9878
348,6445,9207
351,6302,9347
361,6426,9213
370,6180,9450
376,6661,8963
386,6674,8940
399,5922,9679
402,5914,9684
406,6096,9498
423,6359,9218
441,5750,9809
443,6514,9043
445,6210,9345
455,6380,9165
460,5736,9804
484,6414,9102
495,6402,9103
503,5730,9767
509,5786,9705
556,6412,9032
559,6158,9283
562,6609,8829
575,6613,8812
581,5812,9607
587,5858,9555
590,5814,9596
592,6447,8961
599,5767,9634
602,6694,8704
608,6425,8967
623,5665,9712
646,6965,8389
657,6559,8784
664,5813,9523
668,6643,8689
691,6769,8540
699,6327,8974
706,6695,8599
707,5711,9582
721,5626,9653
751,5675,9574
762,6478,8760
776,6967,8257
801,5801,9398
803,6394,8803
806,5496,9698
809,7060,8131
821,6883,8296
823,5629,9548
842,6615,8543
843,7200,7957
846,6987,8167
850,6785,8365
881,6980,8139
885,5663,9452
900,6858,8242
902,6976,8122
904,5621,9475
906,6188,8906
929,6935,8136
955,6977,8068
959,6978,8063
961,7003,8036
965,6112,8923
970,5610,9420
986,5661,9353
989,5884,9127
1027,5590,9383
1031,7054,7915
1038,6790,8172
1057,5622,9321
1068,6742,8190
1096,6932,7972
1113,6047,8840
1115,6246,8639
1120,5547,9333
1137,5764,9099
1146,6416,8438
1160,5503,9337
1167,5498,9335
1170,5659,9171
1190,7041,7769
1203,6338,8459
1223,6817,7960
1269,7091,7640
1286,7004,7710
1287,5460,9253
1299,5518,9183
1325,6938,7737
1327,6939,7734
1330,5542,9128
1386,7068,7546
1397,5439,9164
1398,5630,8972
1419,7064,7517
1426,5458,9116
1428,5492,9080
1439,5576,8985
1451,7029,7520
1454,5240,9306
1475,6801,7724
1476,6617,7907
1491,7205,7304
1513,7093,7394
1514,6701,7785
1528,5338,9134
1567,7074,7359
1571,7046,7383
1581,5489,8930
1607,5331,9062
1610,5130,9260
1619,5563,8818
1634,5431,8935
1637,7073,7290
1643,7096,7261
1647,7044,7309
1659,5280,9061
1672,6937,7391
1709,5514,8777
1719,7047,7234
1727,6651,7622
1729,5673,8598
1731,5521,8748
1766,5362,8872
1770,5495,8735
1787,5635,8578
1811,5318,8871
1860,5512,8628
1895,5445,8660
1911,4448,9604
1915,5334,8751
1929,5223,8848
2037,5493,8470
2145,5337,8518
2208,5217,8575
2225,5118,8657
2249,5038,8713
2265,5148,8587
2266,5229,8505
2269,5000,8731
2284,5185,8531
2335,5129,8536
2360,5125,8515
2372,5300,8328
2446,5081,8473
2449,5043,8508
2452,5086,8462
2465,5095,8440
2513,5092,8395
2569,5018,8413
2584,4990,8426
2627,4948,8425
2660,4848,8492
2748,4947,8305
2779,4644,8577
2781,4896,8323
2836,4938,8226
2842,4731,8427
2939,4999,8062
2956,4815,8229
2963,4690,8347
2970,4740,8290
2981,4994,8025
2983,5161,7856
3075,4931,7994
3096,5013,7891
3132,4919,7949
3143,4652,8205
3210,4951,7839
3215,4660,8125
3226,4751,8023
3292,4508,8200
3295,4557,8148
3336,4672,7992
3356,4783,7861
3398,4691,7911
3435,4793,7772
3560,4492,7948
3590,4640,7770
3592,4689,7719
3607,4634,7759
3619,4570,7811
3636,4378,7986
3643,4479,7878
3652,4528,7820
3679,4586,7735
3692,4364,7944
3778,4385,7837
3791,4469,7740
3797,4569,7634
3812,4497,7691
3815,4560,7625
3888,4383,7729
3915,4410,7675
3936,4550,7514
3943,4433,7624
3947,4408,7645
4011,4486,7503
4035,4388,7577
4070,4268,7662
4133,4324,7543
4136,4285,7579
4162,4348,7490
4181,4264,7555
4225,4260,7515
3,1692,4222,9927
7,1918,1940,9857
50,2398,5748,7804
111,2388,3520,9979
201,2813,3185,9788
438,1913,3835,9814
584,2750,2807,9859
774,2679,3787,8756
917,3802,4362,6918
1256,3858,3929,6940
1531,3495,3508,7466
1539,3457,3459,7545
1586,3310,3804,7284
1651,3440,3441,7468
1660,1810,3713,8817
1661,3275,4036,7028
1678,3410,3414,7498
1690,2591,4272,7447
1698,2685,4243,7374
1710,2825,4145,7320
1726,1782,4659,7821
1735,2652,4241,7372
1741,2644,4118,7497
1752,3018,5219,6011
1763,3134,3893,7210
1764,2341,2878,9017
1797,3350,3352,7501
1822,3343,3349,7486
1825,2461,3333,8381
1830,2282,3722,8165
1870,3462,3489,7179
1873,2299,3932,7814
1875,2910,4061,7154
1908,2520,4224,7348
1926,3308,3309,7457
1937,2486,3334,8243
1941,2786,4115,7158
1942,2720,3083,8250
1966,2530,3820,7584
1980,2454,3179,8373
1994,2649,4886,6470
2008,2189,4245,7533
2039,2419,4208,7334
2065,2451,4163,7321
2096,2237,4249,7418
2100,3204,3208,7488
2103,2647,2873,8324
2152,3213,3239,7396
2187,3178,3182,7453
2234,2588,4039,7139
2239,3670,3934,6136
2253,3183,3293,7215
2362,2524,3081,8033
2368,2609,4009,7014
2401,3146,3147,7306
2467,3080,3088,7365
2470,2906,3122,7202
2568,3125,3766,6346
2595,3264,4584,5557
2601,3598,3720,6070
2655,2899,2905,7541
2765,3029,3047,7159
2830,3121,4139,5910
2835,2972,4667,5523
2923,2940,2965,7172
2934,4117,4142,4803
3274,3955,4254,4423
3585,3588,3669,5158
3899,3962,3974,4165
